1600001460000, 10327.68000000, 10332.00000000, 10327.66000000, 10330.14000000
1600001520000, 10330.14000000, 10330.14000000, 10316.07000000, 10316.45000000
1600001580000, 10316.45000000, 10320.56000000, 10309.12000000, 10309.98000000
1600001640000, 10309.87000000, 10324.02000000, 10305.01000000, 10323.64000000
1600001700000, 10323.64000000, 10323.64000000, 10310.39000000, 10310.93000000
1600001760000, 10310.93000000, 10311.00000000, 10301.23000000, 10301.74000000
1600001820000, 10301.73000000, 10312.19000000, 10300.67000000, 10302.14000000
1600001880000, 10302.14000000, 10309.52000000, 10300.00000000, 10308.16000000
1600001940000, 10307.87000000, 10307.87000000, 10285.73000000, 10290.05000000
1600002000000, 10290.06000000, 10296.23000000, 10258.00000000, 10290.00000000
1600002060000, 10290.00000000, 10291.53000000, 10262.68000000, 10277.31000000
1600002120000, 10277.30000000, 10289.40000000, 10271.24000000, 10288.74000000
1600002180000, 10288.38000000, 10311.79000000, 10287.00000000, 10304.36000000
1600002240000, 10304.35000000, 10306.54000000, 10298.13000000, 10298.13000000
1600002300000, 10298.01000000, 10310.00000000, 10298.01000000, 10305.85000000
1600002360000, 10305.84000000, 10308.42000000, 10298.54000000, 10304.35000000
1600002420000, 10304.60000000, 10309.03000000, 10302.76000000, 10308.40000000
1600002480000, 10308.40000000, 10312.52000000, 10308.30000000, 10311.67000000
1600002540000, 10311.68000000, 10316.49000000, 10311.13000000, 10314.98000000
1600002600000, 10314.99000000, 10314.99000000, 10305.89000000, 10307.32000000
1600002660000, 10307.32000000, 10314.55000000, 10307.32000000, 10310.06000000
1600002720000, 10310.07000000, 10312.96000000, 10307.43000000, 10310.20000000
1600002780000, 10310.33000000, 10315.00000000, 10308.53000000, 10314.99000000
1600002840000, 10315.00000000, 10326.04000000, 10314.99000000, 10321.22000000
1600002900000, 10321.23000000, 10325.56000000, 10320.33000000, 10324.85000000
1600002960000, 10324.84000000, 10326.52000000, 10319.80000000, 10319.81000000
1600003020000, 10319.80000000, 10320.54000000, 10317.78000000, 10319.79000000
1600003080000, 10319.79000000, 10325.00000000, 10319.78000000, 10323.79000000
1600003140000, 10323.79000000, 10325.80000000, 10318.85000000, 10323.43000000
1600003200000, 10323.43000000, 10328.05000000, 10319.25000000, 10326.75000000
1600003260000, 10326.74000000, 10326.74000000, 10324.21000000, 10325.89000000
1600003320000, 10325.90000000, 10328.51000000, 10325.89000000, 10328.00000000
1600003380000, 10328.00000000, 10336.59000000, 10327.36000000, 10335.11000000
1600003440000, 10335.10000000, 10342.84000000, 10335.10000000, 10342.04000000
1600003500000, 10342.04000000, 10342.53000000, 10330.41000000, 10331.33000000
1600003560000, 10331.67000000, 10334.78000000, 10330.39000000, 10332.44000000
1600003620000, 10332.44000000, 10342.45000000, 10332.44000000, 10333.48000000
1600003680000, 10333.50000000, 10334.10000000, 10328.24000000, 10330.02000000
1600003740000, 10330.02000000, 10340.11000000, 10329.00000000, 10337.57000000
1600003800000, 10337.58000000, 10337.58000000, 10325.00000000, 10327.95000000
1600003860000, 10327.96000000, 10335.75000000, 10326.12000000, 10333.89000000
1600003920000, 10333.81000000, 10333.81000000, 10330.83000000, 10331.34000000
1600003980000, 10331.33000000, 10331.69000000, 10330.84000000, 10331.51000000
1600004040000, 10331.52000000, 10331.52000000, 10329.09000000, 10329.90000000
1600004100000, 10329.90000000, 10332.86000000, 10329.89000000, 10331.04000000
1600004160000, 10331.05000000, 10331.65000000, 10329.49000000, 10329.63000000
1600004220000, 10329.62000000, 10329.62000000, 10328.07000000, 10328.45000000
1600004280000, 10328.45000000, 10329.60000000, 10327.57000000, 10327.98000000
1600004340000, 10327.98000000, 10328.17000000, 10327.00000000, 10327.01000000
1600004400000, 10327.00000000, 10327.00000000, 10311.42000000, 10312.28000000
1600004460000, 10312.29000000, 10312.29000000, 10310.00000000, 10311.36000000
1600004520000, 10311.04000000, 10312.29000000, 10308.35000000, 10310.35000000
1600004580000, 10310.36000000, 10329.75000000, 10310.36000000, 10329.54000000
1600004640000, 10329.55000000, 10331.34000000, 10329.00000000, 10330.58000000
1600004700000, 10330.58000000, 10330.59000000, 10320.87000000, 10321.00000000
1600004760000, 10321.00000000, 10322.67000000, 10313.00000000, 10313.10000000
1600004820000, 10313.11000000, 10320.00000000, 10311.62000000, 10319.99000000
1600004880000, 10319.99000000, 10322.43000000, 10313.75000000, 10317.87000000
1600004940000, 10317.87000000, 10317.87000000, 10312.62000000, 10313.03000000
1600005000000, 10313.16000000, 10314.18000000, 10308.00000000, 10309.71000000
1600005060000, 10309.70000000, 10323.25000000, 10309.70000000, 10317.96000000
1600005120000, 10317.95000000, 10317.95000000, 10311.98000000, 10312.00000000
1600005180000, 10312.00000000, 10312.73000000, 10310.74000000, 10312.59000000
1600005240000, 10312.60000000, 10316.32000000, 10312.59000000, 10315.92000000
1600005300000, 10315.92000000, 10327.67000000, 10315.92000000, 10325.51000000
1600005360000, 10325.12000000, 10326.29000000, 10320.85000000, 10322.14000000
1600005420000, 10322.13000000, 10324.90000000, 10320.82000000, 10323.45000000
1600005480000, 10323.55000000, 10327.39000000, 10323.12000000, 10324.14000000
1600005540000, 10324.14000000, 10324.31000000, 10322.00000000, 10322.73000000
1600005600000, 10322.74000000, 10322.74000000, 10308.91000000, 10317.16000000
1600005660000, 10317.17000000, 10317.38000000, 10308.38000000, 10310.00000000
1600005720000, 10310.00000000, 10310.34000000, 10308.40000000, 10309.14000000
1600005780000, 10309.13000000, 10310.93000000, 10306.28000000, 10310.82000000
1600005840000, 10310.81000000, 10314.24000000, 10310.70000000, 10312.05000000
1600005900000, 10312.14000000, 10312.47000000, 10305.00000000, 10306.91000000
1600005960000, 10306.91000000, 10315.76000000, 10306.43000000, 10312.43000000
1600006020000, 10312.43000000, 10318.87000000, 10311.90000000, 10312.41000000
1600006080000, 10312.42000000, 10315.16000000, 10312.09000000, 10313.37000000
1600006140000, 10313.37000000, 10316.53000000, 10312.42000000, 10313.54000000
1600006200000, 10313.88000000, 10314.20000000, 10307.00000000, 10308.79000000
1600006260000, 10308.79000000, 10317.43000000, 10306.44000000, 10317.22000000
1600006320000, 10317.21000000, 10318.86000000, 10315.04000000, 10316.34000000
1600006380000, 10316.34000000, 10316.34000000, 10308.65000000, 10309.93000000
1600006440000, 10309.95000000, 10310.00000000, 10307.13000000, 10308.82000000
1600006500000, 10308.81000000, 10312.17000000, 10305.50000000, 10312.16000000
1600006560000, 10312.17000000, 10319.92000000, 10312.17000000, 10319.40000000
1600006620000, 10319.40000000, 10321.69000000, 10318.85000000, 10321.68000000
1600006680000, 10321.69000000, 10324.73000000, 10321.69000000, 10324.73000000
1600006740000, 10324.63000000, 10325.00000000, 10323.18000000, 10324.21000000
1600006800000, 10324.20000000, 10325.32000000, 10323.18000000, 10325.23000000
1600006860000, 10325.23000000, 10325.23000000, 10321.80000000, 10322.89000000
1600006920000, 10322.88000000, 10323.13000000, 10317.23000000, 10318.72000000
1600006980000, 10318.73000000, 10323.22000000, 10318.36000000, 10319.12000000
1600007040000, 10319.11000000, 10319.11000000, 10314.27000000, 10314.87000000
1600007100000, 10314.87000000, 10315.88000000, 10310.99000000, 10312.02000000
1600007160000, 10312.02000000, 10316.66000000, 10303.33000000, 10316.66000000
1600007220000, 10316.65000000, 10317.94000000, 10312.21000000, 10312.81000000
1600007280000, 10312.81000000, 10315.00000000, 10310.00000000, 10311.48000000
1600007340000, 10311.48000000, 10316.79000000, 10310.93000000, 10311.02000000
1600007400000, 10311.02000000, 10313.06000000, 10305.40000000, 10312.15000000
1600007460000, 10312.16000000, 10312.59000000, 10306.44000000, 10309.99000000
1600007520000, 10309.99000000, 10310.00000000, 10306.32000000, 10308.44000000
1600007580000, 10308.36000000, 10310.00000000, 10306.18000000, 10310.00000000
1600007640000, 10310.00000000, 10315.73000000, 10309.99000000, 10314.78000000
1600007700000, 10314.77000000, 10324.65000000, 10314.55000000, 10320.58000000
1600007760000, 10320.58000000, 10320.58000000, 10318.24000000, 10319.68000000
1600007820000, 10319.68000000, 10320.00000000, 10316.86000000, 10319.74000000
1600007880000, 10319.83000000, 10319.83000000, 10311.60000000, 10316.57000000
1600007940000, 10316.32000000, 10316.58000000, 10311.59000000, 10312.24000000
1600008000000, 10312.23000000, 10312.24000000, 10307.11000000, 10310.22000000
1600008060000, 10310.22000000, 10310.36000000, 10307.12000000, 10308.73000000
1600008120000, 10308.39000000, 10316.12000000, 10308.21000000, 10314.80000000
1600008180000, 10314.79000000, 10315.12000000, 10310.96000000, 10312.42000000
1600008240000, 10312.43000000, 10319.84000000, 10310.00000000, 10315.20000000
1600008300000, 10315.20000000, 10327.40000000, 10314.96000000, 10327.40000000
1600008360000, 10327.39000000, 10337.47000000, 10325.42000000, 10333.10000000
1600008420000, 10333.10000000, 10341.82000000, 10326.91000000, 10340.02000000
1600008480000, 10340.00000000, 10340.01000000, 10329.70000000, 10332.44000000
1600008540000, 10332.39000000, 10332.46000000, 10326.66000000, 10331.94000000
1600008600000, 10331.94000000, 10335.55000000, 10330.10000000, 10335.23000000
1600008660000, 10335.23000000, 10335.55000000, 10333.20000000, 10334.62000000
1600008720000, 10334.74000000, 10337.14000000, 10329.78000000, 10330.14000000
1600008780000, 10330.14000000, 10330.14000000, 10322.93000000, 10323.13000000
1600008840000, 10323.13000000, 10331.58000000, 10323.13000000, 10330.00000000
1600008900000, 10330.00000000, 10331.41000000, 10328.57000000, 10331.41000000
1600008960000, 10330.73000000, 10334.96000000, 10328.58000000, 10334.96000000
1600009020000, 10334.96000000, 10336.66000000, 10327.36000000, 10330.13000000
1600009080000, 10330.14000000, 10331.74000000, 10329.22000000, 10329.32000000
1600009140000, 10329.32000000, 10330.31000000, 10323.84000000, 10324.78000000
1600009200000, 10324.77000000, 10324.78000000, 10320.31000000, 10320.58000000
1600009260000, 10320.58000000, 10320.58000000, 10312.59000000, 10314.19000000
1600009320000, 10314.18000000, 10314.19000000, 10312.49000000, 10313.62000000
1600009380000, 10313.62000000, 10313.64000000, 10310.00000000, 10311.65000000
1600009440000, 10311.65000000, 10311.65000000, 10306.05000000, 10307.40000000
1600009500000, 10307.28000000, 10310.73000000, 10305.68000000, 10309.69000000
1600009560000, 10309.69000000, 10311.50000000, 10307.33000000, 10308.15000000
1600009620000, 10308.15000000, 10318.07000000, 10308.15000000, 10317.51000000
1600009680000, 10317.51000000, 10320.00000000, 10315.54000000, 10316.12000000
1600009740000, 10316.12000000, 10316.12000000, 10309.08000000, 10309.99000000
1600009800000, 10310.00000000, 10311.45000000, 10309.02000000, 10310.36000000
1600009860000, 10310.37000000, 10318.63000000, 10308.45000000, 10318.63000000
1600009920000, 10318.47000000, 10318.99000000, 10314.71000000, 10314.71000000
1600009980000, 10314.71000000, 10314.72000000, 10308.56000000, 10309.11000000
1600010040000, 10309.10000000, 10317.52000000, 10309.09000000, 10315.15000000
1600010100000, 10315.15000000, 10320.00000000, 10313.05000000, 10320.00000000
1600010160000, 10320.00000000, 10324.51000000, 10319.63000000, 10322.16000000
1600010220000, 10322.06000000, 10323.06000000, 10322.04000000, 10323.05000000
1600010280000, 10323.05000000, 10324.09000000, 10322.65000000, 10324.08000000
1600010340000, 10324.09000000, 10328.22000000, 10324.09000000, 10328.21000000
1600010400000, 10328.21000000, 10329.57000000, 10327.92000000, 10329.49000000
1600010460000, 10329.48000000, 10333.30000000, 10329.48000000, 10333.27000000
1600010520000, 10333.27000000, 10340.00000000, 10333.27000000, 10339.94000000
1600010580000, 10339.94000000, 10342.00000000, 10336.63000000, 10336.63000000
1600010640000, 10336.62000000, 10336.65000000, 10335.99000000, 10336.10000000
1600010700000, 10336.11000000, 10336.63000000, 10333.84000000, 10334.67000000
1600010760000, 10334.67000000, 10334.67000000, 10328.17000000, 10328.60000000
1600010820000, 10328.38000000, 10329.66000000, 10322.96000000, 10326.96000000
1600010880000, 10326.96000000, 10329.83000000, 10326.02000000, 10327.48000000
1600010940000, 10327.49000000, 10327.49000000, 10323.22000000, 10323.47000000
